PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
604;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
605;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;FERMO;Fermo;Marche;ITALIA
606;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Biologia Quantitativa e Computazionale;Corso di Laurea Magistrale;OpenMove;Roma;Roma;Lazio;ITALIA
607;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;MADRUZZO;Trento;Trentino Alto Adige;ITALIA
608;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Romeno;Trento;Trentino Alto Adige;ITALIA
609;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Storo;Trento;Trentino Alto Adige;ITALIA
610;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Mezzocorona;Trento;Trentino Alto Adige;ITALIA
611;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Vigasio;Verona;Veneto;ITALIA
612;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Metodologia, Organizzazione e Valutazione dei Servizi Sociali;Corso di Laurea Magistrale;OldSmartCard;Levico Terme;Trento;Trentino Alto Adige;ITALIA
613;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
614;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Bardolino;Verona;Veneto;ITALIA
615;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OldSmartCard;San Pietro In Cariano;Verona;Veneto;ITALIA
616;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Cogorno;Genova;Liguria;ITALIA
617;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
618;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
619;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OpenMove;Sorisole;Bergamo;Lombardia;ITALIA
620;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Belluno;Belluno;Veneto;ITALIA
621;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
622;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Abbiategrasso;Milano;Lombardia;ITALIA
623;ITALIA;Italiana;Scuola di studi Internazionali;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI ;Corso di Laurea Magistrale;OldSmartCard;Fonzaso;Belluno;Veneto;ITALIA
624;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Biologia Quantitativa e Computazionale;Corso di Laurea Magistrale;OpenMove;Botrugno;Lecce;Puglia;ITALIA
625;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OpenMove;Trapani;Trapani;Sicilia;ITALIA
626;GERMANIA;Comunitaria;Dipartimento di Economia e Management;International Management - Management Internazionale;Corso di Laurea Magistrale;OldSmartCard;-;-;-;GERMANIA
627;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OldSmartCard;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
628;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OpenMove;Ponte Nelle Alpi;Belluno;Veneto;ITALIA
629;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Letterature euroamericane, traduzione e critica letteraria;Corso di Laurea Magistrale;OpenMove;Villaverla;Vicenza;Veneto;ITALIA
630;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;OpenMove;Cagliari;Cagliari;Sardegna;ITALIA
631;ITALIA;Italiana;Centro interdipartimentale Mente/Cervello- CIMeC ;Cognitive Science - Scienze Cognitive;Corso di Laurea Magistrale;OpenMove;Tione di Trento;Trento;Trentino Alto Adige;ITALIA
632;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OldSmartCard;Mezzocorona;Trento;Trentino Alto Adige;ITALIA
633;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Fontaniva;Padova;Veneto;ITALIA
634;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;OpenMove;Albaredo d'Adige;Verona;Veneto;ITALIA
635;ITALIA;Italiana;Dipartimento di Economia e Management;Management della sostenibilità e del turismo;Corso di Laurea Magistrale;OpenMove;Sanremo;Imperia;Liguria;ITALIA
636;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Montebelluna;Treviso;Veneto;ITALIA
637;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Fara Vicentino;Vicenza;Veneto;ITALIA
