PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
1;ITALIA;Italiana;Corsi di Dottorato;Materiali, meccatronica e ingegneria dei sistemi;Corso di Dottorato;OpenMove;Gazzo Veronese;Verona;Veneto;ITALIA
2;ITALIA;Italiana;Corsi di Dottorato;Materiali, meccatronica e ingegneria dei sistemi;Corso di Dottorato;OpenMove;Roma;Roma;Lazio;ITALIA
3;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;VILLE D’ANAUNIA;Trento;Trentino Alto Adige;ITALIA
4;ITALIA;Italiana;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
5;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OpenMove;Villafranca di Verona;Verona;Veneto;ITALIA
6;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;NewSmartCard;Roma;Roma;Lazio;ITALIA
7;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Capurso;Bari;Puglia;ITALIA
8;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Mola di Bari;Bari;Puglia;ITALIA
9;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
10;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;OldSmartCard;San Benedetto Po;Mantova;Lombardia;ITALIA
11;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OldSmartCard;PREDAIA;Trento;Trentino Alto Adige;ITALIA
12;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Meccatronica;Corso di Laurea Magistrale;OldSmartCard;Belluno;Belluno;Veneto;ITALIA
13;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Grigno;Trento;Trentino Alto Adige;ITALIA
14;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
15;ITALIA;Italiana;Corsi di Dottorato;Studi giuridici comparati ed europei;Corso di Dottorato;OpenMove;Venezia;Venezia;Veneto;ITALIA
16;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;NewSmartCard;Rozzano;Milano;Lombardia;ITALIA
17;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;NewSmartCard;Ascoli Piceno;Ascoli Piceno;Marche;ITALIA
18;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;NewSmartCard;L'Aquila;L'Aquila;Abruzzo;ITALIA
19;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Grezzana;Verona;Veneto;ITALIA
20;ITALIA;Italiana;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;OpenMove;Buia;Udine;Friuli Venezia Giulia;ITALIA
21;ITALIA;Italiana;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;OpenMove;Ancona;Ancona;Marche;ITALIA
22;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;OpenMove;Roma;Roma;Lazio;ITALIA
23;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;NewSmartCard;Carlentini;Siracusa;Sicilia;ITALIA
24;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;OpenMove;Garda;Verona;Veneto;ITALIA
25;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria civile, ambientale e meccanica;Corso di Dottorato;NewSmartCard;Monteriggioni;Siena;Toscana;ITALIA
26;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Molveno;Trento;Trentino Alto Adige;ITALIA
27;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;NewSmartCard;Potenza;Potenza;Basilicata;ITALIA
28;ITALIA;Italiana;Corsi di Dottorato;Matematica;Corso di Dottorato;OpenMove;Vigonza;Padova;Veneto;ITALIA
29;ECUADOR;Extracomunitaria;Corsi di Dottorato;Scienze Biomolecolari;Corso di Dottorato;OpenMove;Lucca;Lucca;Toscana;ITALIA
30;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OpenMove;Modena;Modena;Emilia-Romagna;ITALIA
31;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OldSmartCard;Cles;Trento;Trentino Alto Adige;ITALIA
32;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OldSmartCard;Quartu Sant'Elena;Cagliari;Sardegna;ITALIA
33;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
34;ITALIA;Italiana;NON PREVISTA;Scienze Cognitive;Corso di Dottorato (D.M.45/2013);NewSmartCard;Bari;Bari;Puglia;ITALIA
35;ITALIA;Italiana;NON PREVISTA;Scienze Cognitive;Corso di Dottorato (D.M.45/2013);OpenMove;Castellammare del Golfo;Trapani;Sicilia;ITALIA
36;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Negrar;Verona;Veneto;ITALIA
37;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;San Giovanni Lupatoto;Verona;Veneto;ITALIA
38;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Rovigo;Rovigo;Veneto;ITALIA
39;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell'Informazione e delle Comunicazioni;Corso di Laurea;NewSmartCard;Rodi Garganico;Foggia;Puglia;ITALIA
40;ITALIA;Italiana;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OpenMove;Pocenia;Udine;Friuli Venezia Giulia;ITALIA
41;ITALIA;Italiana;Dipartimento di Economia e Management;Finanza;Corso di Laurea Magistrale;OpenMove;Sarmede;Treviso;Veneto;ITALIA
42;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Isola della Scala;Verona;Veneto;ITALIA
43;ITALIA;Italiana;Dipartimento di Economia e Management;Finanza;Corso di Laurea Magistrale;OpenMove;Lizzanello;Lecce;Puglia;ITALIA
44;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Udine;Udine;Friuli Venezia Giulia;ITALIA
45;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
46;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Masciago Primo;Varese;Lombardia;ITALIA
47;ITALIA;Italiana;Centro interdipartimentale Mente/Cervello- CIMeC ;Cognitive Science - Scienze Cognitive;Corso di Laurea Magistrale;NewSmartCard;Roma;Roma;Lazio;ITALIA
48;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Metodologia, Organizzazione e Valutazione dei Servizi Sociali;Corso di Laurea Magistrale;OpenMove;Fontanelle;Treviso;Veneto;ITALIA
49;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Informatica;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
50;STATI UNITI D'AMERICA;Extracomunitaria;Dipartimento di Sociologia e Ricerca Sociale;Sociology and social research - Sociologia e ricerca sociale;Corso di Laurea Magistrale;OpenMove;-;-;-;STATI UNITI D'AMERICA (USA)
51;ALBANIA;Extracomunitaria;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
52;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;Levico Terme;Trento;Trentino Alto Adige;ITALIA
53;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OpenMove;Pinerolo;Torino;Piemonte;ITALIA
54;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;OpenMove;Pegognaga;Mantova;Lombardia;ITALIA
55;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;NewSmartCard;Bolzano;Bolzano;Trentino Alto Adige;ITALIA
56;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;NewSmartCard;Azzano Decimo;Pordenone;Friuli Venezia Giulia;ITALIA
57;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;Mola di Bari;Bari;Puglia;ITALIA
58;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;Bassano del Grappa;Vicenza;Veneto;ITALIA
59;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
60;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Montagnana;Padova;Veneto;ITALIA
61;CECA, REP.;Comunitaria;Scuola di studi Internazionali;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI ;Corso di Laurea Magistrale;OpenMove;-;-;-;CECA REPUBBLICA
62;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
63;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Castello-Molina di Fiemme;Trento;Trentino Alto Adige;ITALIA
64;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;OpenMove;Belluno;Belluno;Veneto;ITALIA
65;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Livinallongo del Col di Lana;Belluno;Veneto;ITALIA
66;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;NewSmartCard;Empoli;Firenze;Toscana;ITALIA
67;ITALIA;Italiana;Facoltà di Giurisprudenza;Comparative, European and International Legal Studies;Corso di Laurea;NewSmartCard;Belluno;Belluno;Veneto;ITALIA
68;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;NewSmartCard;Torri del Benaco;Verona;Veneto;ITALIA
69;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;NewSmartCard;Mola di Bari;Bari;Puglia;ITALIA
70;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
71;ITALIA;Italiana;Facoltà di Giurisprudenza;Comparative, European and International Legal Studies;Corso di Laurea;OpenMove;Villaga;Vicenza;Veneto;ITALIA
72;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;NewSmartCard;Lavis;Trento;Trentino Alto Adige;ITALIA
73;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;NewSmartCard;Chiesina Uzzanese;Pistoia;Toscana;ITALIA
74;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;PREDAIA;Trento;Trentino Alto Adige;ITALIA
75;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Treviso;Treviso;Veneto;ITALIA
76;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;NewSmartCard;Napoli;Napoli;Campania;ITALIA
77;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;NewSmartCard;Brescia;Brescia;Lombardia;ITALIA
78;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Bassano del Grappa;Vicenza;Veneto;ITALIA
79;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Marostica;Vicenza;Veneto;ITALIA
80;PERÙ;Extracomunitaria;Dipartimento di Matematica;Matematica;Corso di Laurea;OpenMove;Bolzano;Bolzano;Trentino Alto Adige;ITALIA
81;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia;Corso di Laurea;OpenMove;Casier;Treviso;Veneto;ITALIA
82;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;CANOSA DI PUGLIA;Barletta-Andria-Trani;Puglia;ITALIA
83;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Trieste;Trieste;Friuli Venezia Giulia;ITALIA
84;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Interfacce e Tecnologie della Comunicazione;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
85;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
86;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Erbusco;Brescia;Lombardia;ITALIA
87;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Thiene;Vicenza;Veneto;ITALIA
88;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Sommacampagna;Verona;Veneto;ITALIA
89;ALBANIA;Extracomunitaria;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Arco;Trento;Trentino Alto Adige;ITALIA
90;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Vattaro;Trento;Trentino Alto Adige;ITALIA
91;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OpenMove;Stornarella;Foggia;Puglia;ITALIA
92;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Fasano;Brindisi;Puglia;ITALIA
93;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Isera;Trento;Trentino Alto Adige;ITALIA
94;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
95;ITALIA;Italiana;Dipartimento di Economia e Management;Innovation Management - Management dell'innovazione;Corso di Laurea Magistrale;OpenMove;Cremona;Cremona;Lombardia;ITALIA
96;ROMANIA;Comunitaria;Dipartimento di Economia e Management;Innovation Management - Management dell'innovazione;Corso di Laurea Magistrale;OpenMove;Monastier di Treviso;Treviso;Veneto;ITALIA
97;ITALIA;Italiana;Dipartimento di Economia e Management;Innovation Management - Management dell'innovazione;Corso di Laurea Magistrale;OpenMove;Cascia;Perugia;Umbria;ITALIA
98;CINA;Extracomunitaria;Dipartimento di Economia e Management;International Management - Management Internazionale;Corso di Laurea Magistrale;OpenMove;-;-;-;CINA REPUBBLICA POPOLARE
99;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Mezzolombardo;Trento;Trentino Alto Adige;ITALIA
100;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OldSmartCard;Feltre;Belluno;Veneto;ITALIA
101;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;NewSmartCard;Grancona;Vicenza;Veneto;ITALIA
102;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Pescantina;Verona;Veneto;ITALIA
103;BRASILE;Extracomunitaria;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;SAN LORENZO DORSINO;Trento;Trentino Alto Adige;ITALIA
104;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Pescantina;Verona;Veneto;ITALIA
105;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OpenMove;-;-;-;CILE
106;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Adria;Rovigo;Veneto;ITALIA
107;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociology and social research - Sociologia e ricerca sociale;Corso di Laurea Magistrale;OpenMove;Siracusa;Siracusa;Sicilia;ITALIA
108;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Carlentini;Siracusa;Sicilia;ITALIA
109;ITALIA;Italiana;NON PREVISTA;Development Economics and Local Systems;Corso di Dottorato;OpenMove;Orvieto;Terni;Umbria;ITALIA
110;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Riva del Garda;Trento;Trentino Alto Adige;ITALIA
111;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OpenMove;Roma;Roma;Lazio;ITALIA
112;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
113;ITALIA;Italiana;NON PREVISTA;Le Forme del Testo;Corso di Dottorato;OpenMove;Cesenatico;Forlì-Cesena;Emilia-Romagna;ITALIA
114;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Cerea;Verona;Veneto;ITALIA
115;ITALIA;Italiana;Dipartimento di Economia e Management;Gestione Aziendale;Corso di Laurea;OpenMove;Bassano del Grappa;Vicenza;Veneto;ITALIA
116;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Brenzone;Verona;Veneto;ITALIA
117;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OpenMove;Palermo;Palermo;Sicilia;ITALIA
118;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OpenMove;Bitonto;Bari;Puglia;ITALIA
119;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria Elettronica e delle Telecomunicazioni;Corso di Laurea;OpenMove;Verona;Verona;Veneto;ITALIA
120;ITALIA;Italiana;Dipartimento di Economia e Management;Gestione Aziendale;Corso di Laurea;OpenMove;Farra di Soligo;Treviso;Veneto;ITALIA
121;CINA;Extracomunitaria;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Marano Vicentino;Vicenza;Veneto;ITALIA
122;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
123;GHANA;Extracomunitaria;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Castel Volturno;Caserta;Campania;ITALIA
124;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Verona;Verona;Veneto;ITALIA
125;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;NewSmartCard;Mantova;Mantova;Lombardia;ITALIA
126;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Villa Lagarina;Trento;Trentino Alto Adige;ITALIA
127;ROMANIA;Comunitaria;Dipartimento di Lettere e Filosofia;Filosofia;Corso di Laurea;OpenMove;Dello;Brescia;Lombardia;ITALIA
128;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell'informazione e Organizzazione D'impresa;Corso di Laurea;OldSmartCard;Roncegno;Trento;Trentino Alto Adige;ITALIA
129;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Mori;Trento;Trentino Alto Adige;ITALIA
130;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Venezia;Venezia;Veneto;ITALIA
131;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Cremona;Cremona;Lombardia;ITALIA
132;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;NewSmartCard;Ala;Trento;Trentino Alto Adige;ITALIA
133;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;OpenMove;Arsie';Belluno;Veneto;ITALIA
134;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;OldSmartCard;Tuenno;Trento;Trentino Alto Adige;ITALIA
135;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Cogollo del Cengio;Vicenza;Veneto;ITALIA
136;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Cittadella;Padova;Veneto;ITALIA
137;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Calliano;Trento;Trentino Alto Adige;ITALIA
138;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;NewSmartCard;Casale di Scodosia;Padova;Veneto;ITALIA
139;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
140;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Cremona;Cremona;Lombardia;ITALIA
141;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OldSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
142;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Tesero;Trento;Trentino Alto Adige;ITALIA
143;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Catania;Catania;Sicilia;ITALIA
144;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
145;ITALIA;Italiana;Dipartimento di Economia e Management;Amministrazione Aziendale e Diritto;Corso di Laurea;OldSmartCard;PRIMIERO SAN MARTINO DI CASTROZZA ;Trento;Trentino Alto Adige;ITALIA
146;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Pescara;Pescara;Abruzzo;ITALIA
147;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Pordenone;Pordenone;Friuli Venezia Giulia;ITALIA
148;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Bassano del Grappa;Vicenza;Veneto;ITALIA
149;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Roma;Roma;Lazio;ITALIA
150;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Forlì;Forlì-Cesena;Emilia-Romagna;ITALIA
151;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Provaglio d'Iseo;Brescia;Lombardia;ITALIA
152;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;NewSmartCard;Lonigo;Vicenza;Veneto;ITALIA
153;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Informatica;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
154;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell'informazione e Organizzazione D'impresa;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
155;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Treviso;Treviso;Veneto;ITALIA
